id_User,id_assignment,userid,grade,attemptnumber,grupo,userna,assignment,duedate,completionsubmit,lastlogin,timecreated,status,latest,semxmatricula,seniority_year
1613,872,1613,85,0,105B,24060004,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736975506,1724646848,submitted,1,1,0
1622,872,1622,85,0,105B,24060013,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736560657,1724719806,submitted,1,1,0
1648,872,1648,85,0,105B,24060039,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1735167395,1724730095,submitted,1,1,0
1635,872,1635,85,0,105B,24060026,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734639436,1724728980,submitted,1,1,0
1641,872,1641,85,0,105B,24060032,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737729603,1724729524,submitted,1,1,0
1642,872,1642,85,0,105B,24060033,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1735176701,1724729608,new,1,1,0
1618,872,1618,85,0,105B,24060009,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734756900,1724719281,submitted,1,1,0
1628,872,1628,85,0,105B,24060019,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734399656,1724720564,new,1,1,0
1643,872,1643,85,0,105B,24060034,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1725574563,1724729683,new,1,1,0
1620,872,1620,85,0,105B,24060011,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736544439,1724719586,submitted,1,1,0
1612,872,1612,85,0,105B,24060003,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734534439,1724646763,submitted,1,1,0
1650,872,1650,85,0,105B,24060041,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736879944,1724730235,submitted,1,1,0
1651,872,1651,85,0,105B,24060042,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1727388102,1724730313,new,1,1,0
1624,872,1624,85,0,105B,24060015,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737239685,1724720179,submitted,1,1,0
1626,872,1626,85,0,105B,24060017,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734499964,1724720398,submitted,1,1,0
1357,872,1357,85,0,105B,23060051,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1728071123,1696989989,submitted,1,3,1
1748,872,1748,85,0,105B,24060048,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736581711,1724947832,submitted,1,1,0
1640,872,1640,85,0,105B,24060031,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737578027,1724729458,new,1,1,0
1633,872,1633,85,0,105B,24060024,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737428611,1724728725,submitted,1,1,0
1616,872,1616,85,0,105B,24060007,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737589357,1724719100,submitted,1,1,0
1631,872,1631,85,0,105B,24060022,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1735403746,1724721058,submitted,1,1,0
1655,872,1655,85,0,105B,24060046,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1736478547,1724730597,submitted,1,1,0
1654,872,1654,85,0,105B,24060045,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737259990,1724730520,submitted,1,1,0
1639,872,1639,85,0,105B,24060030,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737249577,1724729387,submitted,1,1,0
848,872,848,85,0,105B,22060074,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1733789871,1692472098,submitted,1,5,2
1637,872,1637,85,0,105B,24060028,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734656817,1724729211,submitted,1,1,0
1634,872,1634,85,0,105B,24060025,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734662040,1724728899,submitted,1,1,0
1078,872,1078,85,0,105B,23060015,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1734666221,1692472099,submitted,1,3,1
1586,872,1586,85,0,105B,24050017,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1733406432,1724643810,new,1,1,0
1585,872,1585,85,0,105B,24050016,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1733169734,1724643702,new,1,1,0
1614,872,1614,85,0,105B,24060005,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737755782,1724646976,submitted,1,1,0
1588,872,1588,85,0,105B,24050019,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737925128,1724644044,new,1,1,0
1632,872,1632,85,0,105B,24060023,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737246600,1724728471,new,1,1,0
1649,872,1649,85,0,105B,24060040,Tarea 1. Tema 1. AnÃ¡lisis de casos.,1726466340,1,1737261927,1724730161,submitted,1,1,0
